Tank,Treatment,Species,Stocked,Harvested
17,Low density,F. virilis,3.7,10.7
20,Invasive only,F. virilis,4.3,6
20,Invasive only,F. virilis,7,22.9
20,Invasive only,F. virilis,7.8,14.6
20,Invasive only,F. virilis,12.1,NA
23,High density,F. virilis,5.8,3.6
23,High density,F. virilis,6,6.7
23,High density,F. virilis,3.8,10.9
23,High density,F. virilis,3.5,5.6
23,High density,F. virilis,2.6,NA
23,High density,F. virilis,4,NA
22,Equal density,F. virilis,6.7,8.8
22,Equal density,F. virilis,4.8,4.6
22,Equal density,F. virilis,3,3.3
22,Equal density,F. virilis,4,NA
24,Low density,F. virilis,6.4,3.9
24,Low density,F. virilis,3.5,3.9
21,Invasive only,F. virilis,6.6,12.5
21,Invasive only,F. virilis,5.4,8
21,Invasive only,F. virilis,5.4,22.3
21,Invasive only,F. virilis,13,NA
26,High density,F. virilis,6,8.3
26,High density,F. virilis,5.2,3.8
26,High density,F. virilis,2.8,7.6
26,High density,F. virilis,2.4,9.9
26,High density,F. virilis,6,5.1
26,High density,F. virilis,3.1,NA
29,Equal density,F. virilis,3.8,16.1
29,Equal density,F. virilis,5,13.3
29,Equal density,F. virilis,2.9,9.2
29,Equal density,F. virilis,8.6,3.9
27,Low density,F. virilis,5,7.4
27,Low density,F. virilis,7.3,7.8
30,Invasive only,F. virilis,4.9,19.3
30,Invasive only,F. virilis,4.6,10.5
30,Invasive only,F. virilis,7.8,6.8
30,Invasive only,F. virilis,10.4,NA
